GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NoteMS,fr.vertours.notems,NoteMsApplication,5,3,0,0,2,1,1,1,1,1
NoteMS,fr.vertours.notems.controller,NoteController,0,66,0,0,0,17,0,7,0,7
NoteMS,fr.vertours.notems.service,NoteServiceImpl,5,69,0,0,0,18,1,7,1,7
